Index;Best Gen. Index;Best Fitness Score;Path;Corner;Duration
1;15;131;28;9;2,9173782;
2;16;134;30;10;2,7627317;
3;16;110;21;9;2,5692951;
4;2;116;26;6;3,1777397;
5;18;135;29;10;3,671998;
6;9;131;29;10;4,050446;
7;3;117;25;9;3,8196273;
8;18;121;27;8;3,693646;
9;11;118;24;10;3,8350025;
10;6;127;28;10;3,2404363;
